ID,NAME,TYPE
2021S0504934,Squamish,CA
2021S0504565,Wasaga Beach,CA
2021S0504546,Tillsonburg,CA
2021S0504828,Canmore,CA
2021S0504567,Collingwood,CA
2021S0504544,Woodstock,CA
2021S0504990,Whitehorse,CA
2021S0504437,Cowansville,CA
2021S0504605,Steinbach,CA
2021S0504467,Sainte-Agathe-des-Monts,CA
2021S0504531,Centre Wellington,CA
2021S0504920,Salmon Arm,CA
2021S0504105,Charlottetown,CA
2021S0504468,Lachute,CA
2021S0504918,Vernon,CA
2021S0504943,Courtenay,CA
2021S0504563,Essa,CA
2021S0504913,Penticton,CA
2021S0504571,Midland,CA
2021S0504110,Summerside,CA
2021S0504831,Sylvan Lake,CA
2021S0504603,Winkler,CA
2021S0504944,Campbell River,CA
2021S0504939,Parksville,CA
2021S0504533,Ingersoll,CA
2021S0504569,Orillia,CA
2021S0504937,Duncan,CA
2021S0504450,Granby,CA
2021S0504456,Joliette,CA
2021S0504936,Ladysmith,CA
2021S0504945,Powell River,CA
2021S0504582,Elliot Lake,CA
2021S0504516,Petawawa,CA
2021S0504527,Cobourg,CA
2021S0504553,Stratford,CA
2021S0504547,Norfolk,CA
2021S0504821,High River,CA
2021S0504530,Kawartha Lakes,CA
2021S0504465,Salaberry-de-Valleyfield,CA
2021S0504820,Okotoks,CA
2021S0504610,Brandon,CA
2021S0504940,Port Alberni,CA
2021S0504907,Nelson,CA
2021S0504826,Strathmore,CA
2021S0504995,Yellowknife,CA
2021S0504405,Rivière-du-Loup,CA
2021S0504905,Cranbrook,CA
2021S0504745,Prince Albert,CA
2021S0504806,Brooks,CA
2021S0504970,Prince George,CA
2021S0504528,Port Hope,CA
2021S0504440,Victoriaville,CA
2021S0504452,Saint-Hyacinthe,CA
2021S0504501,Cornwall,CA
2021S0504566,Owen Sound,CA
2021S0504210,Kentville,CA
2021S0504430,Thetford Mines,CA
2021S0504832,Lacombe,CA
2021S0504965,Terrace,CA
2021S0504515,Pembroke,CA
2021S0504556,Chatham-Kent,CA
2021S0504950,Williams Lake,CA
2021S0504575,North Bay,CA
2021S0504428,Saint-Georges,CA
2021S0504755,Weyburn,CA
2021S0504850,Grande Prairie,CA
2021S0504562,Sarnia,CA
2021S0504512,Brockville,CA
2021S0504011,Gander,CA
2021S0504977,Fort St. John,CA
2021S0504720,Swift Current,CA
2021S0504215,Truro,CA
2021S0504335,Edmundston,CA
2021S0504328,Bathurst,CA
2021S0504404,Rimouski,CA
2021S0504454,Sorel-Tracy,CA
2021S0504860,Wood Buffalo,CA
2021S0504444,Shawinigan,CA
2021S0504910,Trail,CA
2021S0504480,Val-d'Or,CA
2021S0504329,Miramichi,CA
2021S0504502,Hawkesbury,CA
2021S0504833,Camrose,CA
2021S0504485,Rouyn-Noranda,CA
2021S0504481,Amos,CA
2021S0504952,Quesnel,CA
2021S0504955,Prince Rupert,CA
2021S0504805,Medicine Hat,CA
2021S0504710,Yorkton,CA
2021S0504607,Portage la Prairie,CA
2021S0504220,New Glasgow,CA
2021S0504225,Cape Breton,CA
2021S0504715,Moose Jaw,CA
2021S0504865,Wetaskiwin,CA
2021S0504840,Lloydminster,CA
2021S0504598,Kenora,CA
2021S0504410,Alma,CA
2021S0504586,Timmins,CA
2021S0504590,Sault Ste. Marie,CA
2021S0504010,Grand Falls-Windsor,CA
2021S0504403,Matane,CA
2021S0504412,Sept-Îles,CA
2021S0504411,Dolbeau-Mistassini,CA
2021S0504423,Sainte-Marie,CA
2021S0504735,North Battleford,CA
2021S0504406,Baie-Comeau,CA
2021S0504015,Corner Brook,CA
2021S0504640,Thompson,CA
2021S0504975,Dawson Creek,CA
2021S0504750,Estevan,CA
2021S0504330,Campbellton,CA
2021S0503915,Kelowna,CMA
2021S0503930,Chilliwack,CMA
2021S0503938,Nanaimo,CMA
2021S0503925,Kamloops,CMA
2021S0503555,London,CMA
2021S0503541,Kitchener - Cambridge - Waterloo,CMA
2021S0503532,Oshawa,CMA
2021S0503205,Halifax,CMA
2021S0503550,Guelph,CMA
2021S0503305,Moncton,CMA
2021S0503505,Ottawa - Gatineau,CMA
2021S0503932,Abbotsford - Mission,CMA
2021S0503935,Victoria,CMA
2021S0503568,Barrie,CMA
2021S0503725,Saskatoon,CMA
2021S0503522,Belleville - Quinte West,CMA
2021S0503543,Brantford,CMA
2021S0503835,Edmonton,CMA
2021S0503933,Vancouver,CMA
2021S0503433,Sherbrooke,CMA
2021S0503521,Kingston,CMA
2021S0503539,St. Catharines - Niagara,CMA
2021S0503602,Winnipeg,CMA
2021S0503825,Calgary,CMA
2021S0503559,Windsor,CMA
2021S0503320,Fredericton,CMA
2021S0503529,Peterborough,CMA
2021S0503810,Lethbridge,CMA
2021S0503705,Regina,CMA
2021S0503537,Hamilton,CMA
2021S0503462,Montréal,CMA
2021S0503447,Drummondville,CMA
2021S0503535,Toronto,CMA
2021S0503421,Québec,CMA
2021S0503442,Trois-Rivières,CMA
2021S0503310,Saint John,CMA
2021S0503580,Greater Sudbury,CMA
2021S0503001,St. John's,CMA
2021S0503595,Thunder Bay,CMA
2021S0503830,Red Deer,CMA
2021S0503408,Saguenay,CMA
